X,Y,OBJECTID,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Recovered,Deaths,Active,Admin2,FIPS,Combined_Key
138.985605,36.504479,321,Gunma,Japan,2020/12/12 01:27:11+00,36.504479,138.985605,1572,1176,22,374,,,"Gunma, Japan"
132.788719,34.605309,322,Hiroshima,Japan,2020/12/12 01:27:11+00,34.605309,132.788719,1434,857,7,570,,,"Hiroshima, Japan"
142.552318,43.385711,323,Hokkaido,Japan,2020/12/12 01:27:11+00,43.385711,142.552318,10971,8025,289,2657,,,"Hokkaido, Japan"
134.828057,35.039913,324,Hyogo,Japan,2020/12/12 01:27:11+00,35.039913,134.828057,7108,5918,99,1091,,,"Hyogo, Japan"
140.319591,36.303588,325,Ibaraki,Japan,2020/12/12 01:27:11+00,36.303588,140.319591,1935,1546,27,362,,,"Ibaraki, Japan"
136.771027,36.769464,326,Ishikawa,Japan,2020/12/12 01:27:11+00,36.769464,136.771027,899,806,51,42,,,"Ishikawa, Japan"
141.361777,39.593287,327,Iwate,Japan,2020/12/12 01:27:11+00,39.593287,141.361777,252,168,8,76,,,"Iwate, Japan"
133.969047,34.217292,328,Kagawa,Japan,2020/12/12 01:27:11+00,34.217292,133.969047,199,136,3,60,,,"Kagawa, Japan"
130.430665,31.009484,329,Kagoshima,Japan,2020/12/12 01:27:11+00,31.009484,130.430665,796,621,15,160,,,"Kagoshima, Japan"
139.338983,35.415312,330,Kanagawa,Japan,2020/12/12 01:27:11+00,35.415312,139.338983,14627,12662,219,1746,,,"Kanagawa, Japan"
133.367307,33.422519,331,Kochi,Japan,2020/12/12 01:27:11+00,33.422519,133.367307,312,168,4,140,,,"Kochi, Japan"
130.745231,32.608154,332,Kumamoto,Japan,2020/12/12 01:27:11+00,32.608154,130.745231,1195,1012,14,169,,,"Kumamoto, Japan"
135.443341,35.253815,333,Kyoto,Japan,2020/12/12 01:27:11+00,35.253815,135.443341,3133,2622,40,471,,,"Kyoto, Japan"
136.376013,34.508018,334,Mie,Japan,2020/12/12 01:27:11+00,34.508018,136.376013,1027,817,10,200,,,"Mie, Japan"
140.927086,38.446859,335,Miyagi,Japan,2020/12/12 01:27:11+00,38.446859,140.927086,1464,1185,11,268,,,"Miyagi, Japan"
131.299374,32.193204,336,Miyazaki,Japan,2020/12/12 01:27:11+00,32.193204,131.299374,583,485,4,94,,,"Miyazaki, Japan"
138.045528,36.132134,337,Nagano,Japan,2020/12/12 01:27:11+00,36.132134,138.045528,908,729,6,173,,,"Nagano, Japan"
129.608033,33.235712,338,Nagasaki,Japan,2020/12/12 01:27:11+00,33.235712,129.608033,297,265,3,29,,,"Nagasaki, Japan"
135.871644,34.317451,339,Nara,Japan,2020/12/12 01:27:11+00,34.317451,135.871644,1412,1142,12,258,,,"Nara, Japan"
138.918647,37.521819,340,Niigata,Japan,2020/12/12 01:27:11+00,37.521819,138.918647,380,294,1,85,,,"Niigata, Japan"
131.43324,33.200697,341,Oita,Japan,2020/12/12 01:27:11+00,33.200697,131.43324,490,300,3,187,,,"Oita, Japan"
133.826252,34.89246,342,Okayama,Japan,2020/12/12 01:27:11+00,34.89246,133.826252,718,562,11,145,,,"Okayama, Japan"
126.668016,25.768923,343,Okinawa,Japan,2020/12/12 01:27:11+00,25.768923,126.668016,4739,4247,78,414,,,"Okinawa, Japan"
135.507481,34.620965,344,Osaka,Japan,2020/12/12 01:27:11+00,34.620965,135.507481,24193,19065,355,4773,,,"Osaka, Japan"
,,345,Port Quarantine,Japan,2020/12/12 01:27:11+00,,,1653,1508,1,144,,,"Port Quarantine, Japan"
130.115738,33.286977,346,Saga,Japan,2020/12/12 01:27:11+00,33.286977,130.115738,369,311,3,55,,,"Saga, Japan"
139.347635,35.997101,347,Saitama,Japan,2020/12/12 01:27:11+00,35.997101,139.347635,10112,8087,167,1858,,,"Saitama, Japan"
136.138064,35.215827,348,Shiga,Japan,2020/12/12 01:27:11+00,35.215827,136.138064,852,770,11,71,,,"Shiga, Japan"
132.554064,35.07076,349,Shimane,Japan,2020/12/12 01:27:11+00,35.07076,132.554064,165,148,0,17,,,"Shimane, Japan"
138.407784,34.916975,350,Shizuoka,Japan,2020/12/12 01:27:11+00,34.916975,138.407784,2110,1402,18,690,,,"Shizuoka, Japan"
139.819213,36.689912,351,Tochigi,Japan,2020/12/12 01:27:11+00,36.689912,139.819213,839,615,3,221,,,"Tochigi, Japan"
134.242091,33.919178,352,Tokushima,Japan,2020/12/12 01:27:11+00,33.919178,134.242091,187,173,10,4,,,"Tokushima, Japan"
139.446921,35.711343,353,Tokyo,Japan,2020/12/12 01:27:11+00,35.711343,139.446921,46173,40375,510,5288,,,"Tokyo, Japan"
133.863619,35.359069,354,Tottori,Japan,2020/12/12 01:27:11+00,35.359069,133.863619,67,56,0,11,,,"Tottori, Japan"
137.269346,36.637464,355,Toyama,Japan,2020/12/12 01:27:11+00,36.637464,137.269346,470,430,26,14,,,"Toyama, Japan"
,,356,Unknown,Japan,2020/12/12 01:27:11+00,,,8,8,0,0,,,"Unknown, Japan"
135.505446,33.911879,357,Wakayama,Japan,2020/12/12 01:27:11+00,33.911879,135.505446,545,445,7,93,,,"Wakayama, Japan"
